fips code,Count_Star
49011,57
39003,57
36011,105
41037,48
16047,39
48381,46
48037,90
35043,110
37199,118
27061,102
45075,46
21005,36
55089,151
37191,66
48189,18
18059,65
20061,12
41053,27
37019,43
20151,33
26025,91
13029,35
13275,12
17195,24
42111,57
27047,22
40039,14
05103,32
01121,22
29147,27
48107,151
29209,68
18061,40
48177,15
19191,34
36077,33
17139,5
40013,22
50021,134
06043,41
26063,19
55127,31
31175,46
38089,19
21009,42
39121,18
35027,1
33019,30
42073,35
48493,10
16049,48
12119,29
17021,32
30053,15
26143,38
55078,776
29029,3
48453,20906
48489,24
53033,25652
32003,18957
41005,496
12099,6331
23017,203
24047,82
26093,2927
50007,1055
12087,680
45019,2884
45083,340
37021,1328
20173,2035
06027,359
47037,8510
45051,1026
16001,3447
47179,280
36119,2291
06029,1180
08001,609
53027,64
12015,177
20177,533
20175,766
22051,213
39153,1283
04005,946
12033,795
48485,225
48215,2144
53061,1551
36015,122
25009,1521
12035,429
45077,165
28075,44
30049,227
53029,429
39007,57
06095,458
24041,75
26139,233
34007,1673
28049,917
47045,18
05125,131
39103,211
18167,79
48127,5
55133,439
55073,226
26155,131
49031,16
48005,134
06077,317
36071,1060
17055,70
42027,682
12077,2
48303,822
56001,88
12019,255
09011,720
31079,38
13053,138
36027,304
18159,92
19193,87
48227,99
48469,100
17053,32
53035,946
19113,45
35015,42
24025,136
01047,8
08101,300
31141,84
51071,61
21037,116
24043,291
39145,139
16083,82
05119,183
29069,77
48347,76
42007,83
18079,77
40059,57
28131,50
47001,201
22069,27
39009,186
40017,54
26015,53
48221,149
51187,98
08003,19
24013,125
36013,71
39171,36
16055,257
37025,179
21193,129
17063,23
13255,50
48009,70
29031,71
45007,79
55105,70
45057,28
47163,149
47141,299
19145,98
37099,58
22067,57
36121,30
37045,12
55071,71
21089,27
17199,53
48175,13
46011,42
30067,123
23013,68
53025,68
42089,79
17147,38
42035,33
22073,89
13123,32
39167,27
46029,26
18035,355
47013,25
37091,74
39043,23
48045,19
49043,25
05085,31
28059,95
19039,24
37117,41
48503,27
26007,27
26121,100
21107,33
37069,28
21177,43
32001,24
48051,53
40121,34
20015,27
40139,49
39075,47
39137,21
48013,13
25007,34
48147,26
18099,34
42115,16
56005,15
42005,36
20039,112
48439,8174
12073,2058
37183,6134
09009,2493
39095,1082
22071,7743
42003,9168
37119,7317
26125,1937
34013,2083
06085,12976
01097,1116
30031,475
34003,1014
40031,90
08013,2376
41017,653
37057,41
29219,83
24033,1892
19103,862
55087,176
37063,3562
47093,1962
37141,126
51183,757
01033,20
46013,31
48257,134
37073,112
45045,2047
12009,1756
34021,1543
12117,786
40143,2640
17037,261
25013,458
08041,1602
48473,36
13085,22
06023,317
08009,61
42071,1019
29213,90
05031,149
18129,104
47125,270
29019,599
06079,613
22045,20
04012,514
18089,531
36111,414
18003,798
50027,68
19139,23
48139,287
26099,408
27139,99
26103,185
21205,59
51149,81
28047,502
39099,623
29179,33
47011,176
24015,156
55139,118
06063,63
28039,111
55035,237
48427,136
45085,95
16043,32
28095,153
53077,387
12023,60
48001,64
53041,131
18057,754
42059,67
54033,28
01089,1279
34015,538
17029,21
47063,99
34011,46
55063,178
45091,377
21059,58
55059,158
45035,241
05143,787
30029,197
06105,63
29153,45
37051,741
25023,347
48475,172
01077,71
48289,30
51179,85
53045,140
12089,106
21073,230
49053,157
45003,155
32005,16
55131,47
21049,25
39093,414
35025,13
18091,103
48187,160
36033,179
01103,73
23001,44
28121,63
19125,81
28033,95
26047,15
49019,56
22061,59
40015,38
04009,23
21215,68
30111,163
31145,3
37123,77
19061,179
47167,25
22047,32
51199,59
12051,14
51087,86
18173,165
42051,37
48021,61
39081,82
55029,29
26071,75
31111,109
17115,53
31027,16
54025,18
08107,24
29165,32
20133,8
26013,18
54037,22
21185,27
48507,7
01049,25
45037,8
48185,15
05045,79
35061,30
42001,156
12083,378
01125,531
48157,2002
06111,2053
21019,115
06071,2871
36037,161
48097,67
36001,1672
26163,7482
27037,465
24003,1481
37067,817
53037,67
20161,265
31055,2796
41033,865
39143,193
39061,4753
48309,605
28081,142
32031,1934
22103,186
42081,437
06067,8453
18063,136
48245,463
51153,2212
06041,831
42029,603
13055,21
37157,95
12071,1664
48329,1333
48065,85
06055,3388
27163,200
34031,555
47065,1245
19049,657
39063,78
47187,858
39169,237
13117,243
48479,217
45015,77
55097,78
48123,28
29047,338
31153,237
19047,34
34039,595
42075,96
30093,97
42125,112
36075,183
13097,236
08059,592
53071,79
26091,99
17089,328
55039,27
31151,316
01069,129
29105,28
29021,112
47113,281
28149,39
42021,108
48441,283
47165,656
18093,84
29009,80
35051,163
05131,201
06035,192
37129,503
16013,231
04021,1123
48099,81
20155,21
55069,96
36065,209
53073,719
41011,436
42009,564
54081,721
42079,186
45013,258
06017,521
18107,116
33017,91
48119,56
47073,22
05115,70
21161,36
53031,166
01043,53
30063,366
53043,309
49005,158
21035,47
17183,147
37179,170
01123,48
48321,214
13077,69
39059,284
42123,20
18053,44
48089,27
54093,233
22015,128
48437,11
17071,33
37049,73
18027,26
36025,121
45043,628
06091,49
27009,36
51019,37
08083,3
48293,9
47055,91
37113,49
26145,46
47031,24
34037,127
27079,14
48181,35
27089,16
48035,22
39013,42
18109,27
27099,26
51135,44
48373,42
39069,64
13017,212
22001,24
40079,39
35037,14
12121,44
21113,40
21095,25
13277,8
16017,20
51075,23
06109,50
36009,24
08123,369
55025,3735
25025,28429
36059,1040
04013,24349
08077,326
12005,625
37147,280
36005,3076
33005,107
16019,73
37081,1441
12127,1519
49057,249
31109,1234
25027,1345
12091,491
24005,1156
55079,3443
53063,1873
23027,1184
06097,950
36061,10933
51059,2097
55067,1018
21071,405
12103,4145
45079,1819
10003,1108
48003,169
28089,88
04003,598
42017,982
13185,152
53075,234
27123,2612
26161,3891
06061,25
12069,838
18039,99
21067,1567
48351,72
53011,1221
13013,62
13151,176
42069,402
51013,2444
36087,308
13087,380
18011,74
04007,192
13313,88
06045,164
41009,51
53007,217
42091,2090
34027,610
37133,221
18157,535
06115,128
48061,479
01087,23
26077,699
13115,180
05049,135
13187,33
48143,36
55141,84
36069,450
21227,353
37065,46
54039,734
42019,152
15009,313
37097,191
17121,28
12109,657
42117,61
21151,133
06049,28
42045,531
35053,102
28071,178
36003,51
37047,32
12101,512
13213,25
21229,19
05089,97
26115,58
39089,131
55111,50
48249,17
41071,65
31025,69
35045,122
01083,44
19163,176
21101,74
26105,33
16069,28
51137,58
29115,46
06089,256
13271,24
51095,155
21145,91
55117,69
37153,87
48419,101
40151,52
29099,277
48259,46
33015,321
54059,37
48273,155
13285,82
18031,32
22075,5
45031,82
08097,134
05071,34
47135,18
17105,63
53009,895
01109,78
47035,32
55027,67
39005,18
06005,12
18145,31
37181,11
36115,28
21179,24
55055,82
29101,31
20055,22
48465,14
26067,24
20141,45
13295,44
48161,46
28119,21
48163,50
21097,24
35009,20
37155,19
40019,26
13009,21
48499,23
29169,67
56015,33
42087,39
37107,17
12037,193
20113,14
54083,3
